,Opportunity Name,Opportunity Unique Identifier,Bridge Name,Country,Level 3 Government,Level 4 Government,Stage,Sub-Stage,Individuals Directly Served,River Name,Site Validation,Proposed Bridge Location (GPS) (Latitude),Proposed Bridge Location (GPS) (Longitude),Reason site not valid,Site Validation Comments,Flag for Rejection,Rejection Reason,River crossing deaths in last 3 years,Incident descriptions,Days per year river is flooded,Flood duration during rainy season,Notes on social information,Width of River During Flooding (m),Nearest all-weather crossing point,360° with site description video on Box,Health access blocked by river,Education access blocked by river,Market access blocked by river,Other access blocked by river,GPS (Longitude),GPS (Latitude),Waterway or Obstacle Classification,Transportation Route Classification,Environment Classification,Form: Created Date,Level 1 Government,Level 2 Government,geometry,latitude,longitude,priority
11,Côte d'Ivoire - Ardjoumakro - 1042876,1042876,Ardjoumakro,Côte d'Ivoire,Dogbo,Bledie,Identified,,,Rivière iman,Not applicable,4.859994,-6.998704,,,No,,0,2,28.0,1,Président Gsc bledie,13.0,5,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-6.998704,4.859994,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,11/7/22,San Pedro,San-Pédro,POINT (-6.998704 4.859994),4.859994,-6.998704,no
12,Côte d'Ivoire - Patake 5 - 1044860,1044860,Patake 5,Côte d'Ivoire,Grand bereby,Patake,Identified,,,Patake,Not applicable,4.624465,-7.239956,,,No,,0,0,10.0,5,Secrétaire adjoint Gsc djihimbo,23.0,8,Non,Hôpital - Hospital,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court)",-7.239956,4.624465,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,2/20/23,San Pedro,San-Pédro,POINT (-7.239956 4.624465),4.624465,-7.239956,no
13,Côte d'Ivoire - Patake - 1044855,1044855,Patake,Côte d'Ivoire,Grand bereby,Patake,Identified,,,Rivière patake,Not applicable,4.621765,-7.240286,,,No,,0,0,2.0,1,Secrétaire adjoint gsc,45.0,5,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc)",-7.240286,4.621765,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,2/20/23,San Pedro,San-Pédro,POINT (-7.240286 4.621765),4.621765,-7.240286,no
14,Côte d'Ivoire - Patake 5 - 1044856,1044856,Patake 5,Côte d'Ivoire,Grand bereby,Patake,Identified,,,Patake 5,Not applicable,4.624503,-7.238734,,,No,,0,0,3.0,2,Secrétaire adjoint Gsc djihimbo,23.0,5,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court)",-7.238734,4.624503,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,2/20/23,San Pedro,San-Pédro,POINT (-7.238734 4.624503),4.624503,-7.238734,no
15,Côte d'Ivoire - Baba2 - 1044793,1044793,Baba2,Côte d'Ivoire,San pedro,Baba,Identified,,,Bas-fonds n'brakro,Not applicable,4.809617,-6.777676,,,No,,0,Des baissés et des cargaisons emporté.,28.0,3,Membres de la communauté,100.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University;EFTP ou école professionnelle/de métier - TVET or Vocational school,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-6.777676,4.809617,River,motorcycle accessible path,Rural,2/13/23,San Pedro,San-Pédro,POINT (-6.777676 4.809617),4.809617,-6.777676,no
17,Côte d'Ivoire - Berrakro - 1042373,1042373,Berrakro,Côte d'Ivoire,Gabiadji,Gnity,Identified,,,Menegbe,Not applicable,5.127583,-6.5649,,,No,,2,8,28.0,7,Membres de la communauté,50.0,1,,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly),"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-6.5649,5.127583,River,Walking path,Rural,10/20/22,San Pedro,San-Pédro,POINT (-6.5649 5.127583),5.127583,-6.5649,no
18,Côte d'Ivoire - Grobonou dan - 1042583,1042583,Grobonou dan,Côte d'Ivoire,Gabiadji,Grobonou dan,Rejected,Vehicular Bridge Preferred,,Yaya,Not applicable,5.043485,-6.394388,,Passage de véhicules,Yes,La route est réservée aux véhicules,0,Baissés légèrement 3,12.0,2,Membres de la communauté,46.0,"0,5",Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly),"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.394388,5.043485,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,10/25/22,San Pedro,San-Pédro,POINT (-6.394388 5.043485),5.043485,-6.394388,no
19,Côte d'Ivoire - Grobonou dan - 1042584,1042584,Grobonou dan,Côte d'Ivoire,Gabiadji,Grobonou dan,Rejected,Vehicular Bridge Required,,Yaya,,5.043695,-6.393405,No waterway or barrier,Route de véhicule,Yes,Passage réservé aux véhicules,0,0,10.0,1,Pas de Pont un grand Bas-fonds,36.0,1,Non,,,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.393405,5.043695,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,10/25/22,San Pedro,San-Pédro,POINT (-6.393405 5.043695),5.043695,-6.393405,no
20,Côte d'Ivoire - Houphouekro - 1042432,1042432,Houphouekro,Côte d'Ivoire,Gabiadji,Gnity,Rejected,Vehicular Bridge Preferred,,Menee,Not applicable,5.123229,-6.55412,,,Yes,Route réservé aux véhicules,0,4,28.0,6,Membres de la communauté,130.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly),"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Achat des unités ou de données - Airtime or data purchase",-6.55412,5.123229,swamp (water year round),motorcycle accessible path,Rural,10/20/22,San Pedro,San-Pédro,POINT (-6.55412 5.123229),5.123229,-6.55412,no
21,Côte d'Ivoire - Pont fahe - 1042378,1042378,Pont fahe,Côte d'Ivoire,Gabiadji,Fahe,Identified,,,Affluent de la rivière san-pedro,Not applicable,4.979625,-6.63983,,Ras,No,,0,24,28.0,5,Membres de la communauté.,50.0,10 carrefour gabiadji,Non,Hôpital - Hospital;Pharmacie - Pharmacy,,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.63983,4.979625,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,10/20/22,San Pedro,San-Pédro,POINT (-6.63983 4.979625),4.979625,-6.63983,no
22,Côte d'Ivoire - Kouamekro - 1042662,1042662,Kouamekro,Côte d'Ivoire,Gabiadji,Blahou,Identified,,,Kouamekro,Not applicable,4.950051,-6.520873,,,No,,3,"Impossible de faire évacuer les malades en saison de pluie des blessés et biens emporté par l,eau",60.0,8,Membres de la communauté,47.0,30 km,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.520873,4.950051,River,Walking path,Rural,10/31/22,San Pedro,San-Pédro,POINT (-6.520873 4.950051),4.950051,-6.520873,yes
23,Côte d'Ivoire - Touih - Adamakro - 1041931,1041931,Touih - Adamakro,Côte d'Ivoire,Gabiadji,Touih,Identified,,,Rivière touih nitoh,Yes,5.257162,-6.54408,,,No,,0,10,22.0,1,Membre de la communauté de Adamakro et de touih,63.0,6km,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Achat des unités ou de données - Airtime or data purchase",-6.54408,5.257162,River; swamp (water year round),motorcycle accessible path,Urban,10/17/22,San Pedro,San-Pédro,POINT (-6.54408 5.257162),5.257162,-6.54408,no
24,Côte d'Ivoire - Grand domaine nouvelle demande - 1042529,1042529,Grand domaine nouvelle demande,Côte d'Ivoire,Gabiadji,Gnity,Identified,,,Menegbe affluent,Not applicable,5.176217,-6.550525,,,No,,0,6,10.0,2,Membres de la communauté nouvelle demande.,50.0,5,Non,,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-6.550525,5.176217,River,Walking path,Rural,10/24/22,San Pedro,San-Pédro,POINT (-6.550525 5.176217),5.176217,-6.550525,no
25,Côte d'Ivoire - Scaf nouvelle demande - 1042527,1042527,Scaf nouvelle demande,Côte d'Ivoire,Gabiadji,Fahe,Rejected,Vehicular Bridge Required,,Affluent de la rivière san-pedro,Not applicable,4.967749,-6.667436,,,Yes,Route réservé aux véhicules,0,0,22.0,1,Membres de la communauté nouvelle demande,44.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-6.667436,4.967749,River,non-graded road or car/vehicle accessible path,Rural,10/24/22,San Pedro,San-Pédro,POINT (-6.667436 4.967749),4.967749,-6.667436,no
26,Côte d'Ivoire - Djabedoukou - 1042661,1042661,Djabedoukou,Côte d'Ivoire,Gabiadji,Blahou,Identified,,,Menee,Not applicable,4.936216,-6.507123,,,No,,6,Braisé et bagages emporter sac de cacao hévéa et autres produits divers,45.0,7,"La traversée est pour les campements djabedoukro,kangakro,amadoukro",86.0,Village kpetai à 16 km,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.507123,4.936216,River,Walking path,Rural,10/31/22,San Pedro,San-Pédro,POINT (-6.507123 4.936216),4.936216,-6.507123,yes
27,Côte d'Ivoire - Fahe - 1042664,1042664,Fahe,Côte d'Ivoire,Gabiadji,Fahe,Rejected,Vehicular Bridge Required,,Brahima carrefour,Not applicable,4.967021,-6.667241,,Passage de véhicules,Yes,Passage réservé aux véhicules,0,Les voitures restent enfoncé des jours en saison de pluie et les piétons ne peuvent pas passer.,10.0,1,Membres du GSC,250.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.667241,4.967021,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,10/31/22,San Pedro,San-Pédro,POINT (-6.667241 4.967021),4.967021,-6.667241,no
28,Côte d'Ivoire - Africa - 1042431,1042431,Africa,Côte d'Ivoire,Gabiadji,Gnity,Rejected,Vehicular Bridge Required,,Marcelle,Yes,5.163871,-6.545844,No sign of pedestrian traffic,Passage de véhicules,Yes,,0,0,5.0,3,Membres de la communauté Pont bien fait et réservé aux véhicules,15.0,Aucune,,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Achat des unités ou de données - Airtime or data purchase",-6.545844,5.163871,River,graded road / marram - one lane,Rural,10/20/22,San Pedro,San-Pédro,POINT (-6.545844 5.163871),5.163871,-6.545844,no
