,FID_,Shape__,Niveau,IEP,Region,Departemen,S_pref,Commune,Villages,Nature_loc,Nom_Etab,Coord_x,Coord_y,Source_coo,Statut,Regime_ét,Milieu,Ordre_ens,Type_conf,eco_pt_eau,Elec_ecole,Elec_local,Eligible_c,Coges,T_cp1,TF_cp1,T_cp2,Tf_cp2,T_ce1,Tf_ce1,T_ce2,Tf_ce2,T_cm1,Tf_cm1,T_cm2,Tf_cm2,Aire_total,Aire_Inf_3,Aire_3_5,Aire_Sup_5,Ce2_18_19,Cm1_18_19,Cm2_18_19,Cm1_19_20,Cm2_19_20,Cm2_20_21,Aire,Prj_cm2_21,Densit_prj,Ponde,Clas_den_p,geometry
25,25,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,ANDOBO ALLUIBO,Un village,EPP ANDOBO ALLUIBO,246039,819216,ecole,Public,-1,2,-1,-1,2,2,2,2,1,51,22,37,17,37,19,37,21,35,16,41,14,238,0,238,0,33.82587,32.460652,31.82502,29.807574,30.633044,28.402737,238,2,0.361818,18,1,POINT (246039 819216)
26,26,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,ASSAFOU,Un village,EPP ASSAFOU-N'ZEGOUANOU,244274,820555,ecole,Public,-1,2,-1,-1,1,1,1,2,1,25,14,0,0,32,14,31,11,25,12,0,0,113,113,0,0,30.352487,25.522195,21.896075,27.274523,22.353435,26.232737,113,2,0.334175,18,1,POINT (244274 820555)
27,27,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,SANDO,Un village,EPP KONAN NOEL PEUHMOND DE SANDO,252118,820877,ecole,Public,-1,2,-1,-1,2,1,2,2,2,56,23,53,32,53,34,42,16,65,38,51,14,320,320,0,0,52.012943,42.129019,65.253458,48.688408,45.72682,49.809664,320,3,0.634518,21,1,POINT (252118 820877)
28,28,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,AYAOU-SRAN,-1,AYAOU-SOKPA,Un village,EPP AYAOU-SOKPA2,210822,820969,ecole,Public,-1,2,-1,-1,1,1,2,2,1,55,20,59,31,48,20,42,16,48,14,55,30,307,307,0,0,42.774142,35.688834,43.471093,36.80177,32.582976,34.031906,307,2,0.433528,18,1,POINT (210822 820969)
29,29,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,GOMO,Un village,EPP GOMO,269776,821194,ecole,Public,-1,2,-1,-1,1,1,1,2,2,27,13,14,7,17,7,15,8,14,6,11,7,98,98,0,0,20.060457,18.678597,12.261802,21.240826,22.852372,24.295408,98,2,0.309496,21,1,POINT (269776 821194)
30,30,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,AYAOU-SRAN,-1,AYAOU-SOKPA,Un village,EPP AYAOU-SOKPA1,211535,821247,ecole,Public,-1,2,-1,-1,1,2,2,2,1,90,35,72,32,65,25,85,45,71,34,54,22,437,400,37,0,61.169034,73.755492,66.086569,55.076052,68.978608,53.645445,437,3,0.683381,18,1,POINT (211535 821247)
31,31,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,ASSOUAKRO,Un village,EPP ASSOUAKRO 2,268919,821453,ecole,Public,-1,2,-1,-1,1,1,2,2,2,30,13,24,13,20,11,23,16,22,14,33,19,152,143,9,0,21.708878,22.933178,23.040206,21.699129,24.677145,23.527413,152,2,0.299712,21,1,POINT (268919 821453)
32,32,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,ASSOUAKRO,Un village,EPP ASSOUAKRO 1,268890,821470,ecole,Public,-1,2,-1,-1,1,1,2,2,2,35,17,32,16,27,15,25,12,30,18,29,11,178,166,12,0,28.672789,26.911563,31.867751,28.422746,30.790498,30.77402,178,2,0.392026,21,1,POINT (268890 821470)
33,33,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,AYAOU-SRAN,-1,AYAOU-SOKPA,Un village,EPP AYAOU-SOKPA3,211819,821850,ecole,Public,-1,2,-1,-1,1,1,2,2,1,36,18,40,22,50,22,38,23,49,21,33,17,246,246,0,0,49.980161,37.05923,48.248653,47.183223,39.074883,48.376478,246,3,0.616261,18,1,POINT (211819 821850)
34,34,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,ANDOKRO,Un village,EPP ANDOKRO,266434,822509,ecole,Public,-1,2,-1,-1,1,1,1,2,2,17,11,16,13,22,9,21,7,18,12,24,13,118,118,0,0,23.40572,20.731397,20.837406,23.034487,22.34833,24.58166,118,2,0.313142,21,1,POINT (266434 822509)
35,35,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,KOUADIO PRIKRO,Un village,EPP KOUADIO PRIKRO,266432,823089,ecole,Public,-1,2,-1,-1,1,1,1,2,2,27,15,27,11,29,15,11,6,16,7,21,12,131,131,0,0,29.088427,15.163335,19.736007,27.826112,20.28999,29.260921,131,2,0.372751,21,1,POINT (266432 823089)
36,36,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,ATTIAKRO,Un village,EPP ATTIAKRO,250880,823749,ecole,Public,-1,2,-1,-1,1,2,1,2,2,46,28,55,30,61,23,45,21,38,13,43,15,288,288,0,0,58.287831,40.601553,37.443865,53.044977,39.746973,52.191141,288,3,0.664855,21,1,POINT (250880 823749)
37,37,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,KOUASSI BLE DJEKRO,Un village,KOUASSI BLE DJEKRO,269319,823795,ecole,Public,-1,2,-1,-1,1,1,1,2,2,29,12,15,12,17,7,16,7,15,7,8,3,100,100,0,0,17.369929,15.171424,14.698332,16.625122,15.541139,17.238704,100,1,0.219601,21,1,POINT (269319 823795)
38,38,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,PLANGO,Un village,EPP PLANGO - SEMOUKRO,270210,824250,ecole,Public,-1,2,-1,-1,1,1,2,2,2,27,9,26,11,34,13,17,8,22,8,18,6,144,43,101,0,30.127523,15.106419,19.268546,25.84135,14.369948,23.845411,144,2,0.303763,21,1,POINT (270210 824250)
39,39,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,KANANGO-POKOUKRO,Un village,EPP KANANGO-POKOUKRO,257080,824989,ecole,Public,-1,2,-1,-1,1,1,2,2,1,33,16,28,17,37,20,20,12,32,12,21,7,171,171,0,0,37.797603,24.793758,34.789952,36.614187,31.138242,38.931478,171,2,0.495942,18,1,POINT (257080 824989)
40,40,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,KONZO,Un village,EPP KONZO,272749,825371,ecole,Public,-1,2,-1,-1,1,1,2,2,2,73,29,64,35,61,37,60,30,54,27,47,21,359,359,0,0,58.800312,53.617228,50.546952,53.906545,51.711715,53.470245,359,3,0.68115,21,1,POINT (272749 825371)
41,41,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,KANANGO-PLI,Un village,EPP KANANGO-PLI,255218,825467,ecole,Public,-1,2,-1,-1,2,1,2,2,2,75,41,79,38,67,29,67,27,57,27,35,7,380,233,147,0,62.353394,60.601718,54.735168,55.870405,59.285017,54.393393,380,3,0.692909,21,1,POINT (255218 825467)
42,42,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,GBADAHOU,Un village,EPP GBADAHOU KOFFIKRO,267704,825470,ecole,Public,-1,2,-1,-1,1,1,2,2,2,30,17,27,16,22,7,21,12,27,17,23,9,150,150,0,0,28.146175,24.950828,33.662168,30.78823,31.015225,35.969829,150,2,0.458214,21,1,POINT (267704 825470)
43,43,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,KENEFOUE,Un village,EPP KENEFOUE,210188,825709,ecole,Public,-1,2,-1,-1,1,1,2,2,2,60,31,41,18,54,25,46,23,43,19,31,10,275,275,0,0,52.092642,41.535887,41.302851,47.773994,40.611553,47.405689,275,3,0.603894,21,1,POINT (210188 825709)
44,44,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,ODIAE,Un village,EPP ODIAE 1,237568,826475,ecole,Public,-1,2,-1,-1,1,1,2,2,1,56,19,43,22,56,27,46,25,47,23,41,18,289,289,0,0,52.764521,42.091075,45.196395,47.657461,41.718104,46.697287,289,3,0.59487,18,1,POINT (237568 826475)
45,45,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,ODIAE,Un village,EPP ODIAE 2,237544,826487,ecole,Public,-1,2,-1,-1,1,1,2,2,1,61,34,50,31,50,20,44,15,29,9,0,0,234,234,0,0,48.058355,39.334105,28.52082,43.933848,38.04593,43.427302,234,3,0.553214,18,1,POINT (237544 826487)
46,46,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,N'DOUAKRO,Un village,EPP N'DOUAKRO,266274,827415,ecole,Public,-1,2,-1,-1,1,1,1,2,2,20,14,5,3,15,8,18,10,8,5,9,3,75,75,0,0,16.69805,16.484904,8.697488,16.766313,16.366727,18.032429,75,1,0.229712,21,1,POINT (266274 827415)
47,47,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,MEBO,Un village,EPP ADJOUASSOU,270043,827440,ecole,Public,-1,2,-1,-1,1,1,2,2,2,23,12,39,23,34,14,31,14,23,10,36,19,186,186,0,0,32.049329,28.742287,25.73685,29.029079,29.204453,28.660477,186,2,0.365102,21,1,POINT (270043 827440)
48,48,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,YABLASSOU,Un village,EPP YABLASSOU 1,249166,827696,ecole,Public,-1,2,-1,-1,2,2,2,2,2,53,25,34,16,44,19,31,19,61,30,32,12,255,234,21,0,39.252337,28.409174,54.857052,34.008133,28.029693,31.930745,255,2,0.406761,21,1,POINT (249166 827696)
49,49,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,YABLASSOU,Un village,EPP YABLASSOU 2,249164,827708,ecole,Public,-1,2,-1,-1,1,1,2,2,2,0,0,36,14,38,17,33,12,0,0,0,0,107,67,40,0,36.596097,29.389541,6.762977,33.484206,28.898392,33.179134,107,2,0.422664,21,1,POINT (249164 827708)
50,50,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,N'GBEDIO-KOFFIKRO,Un village,EPP N'GBEDIO-KOFFIKRO,242964,827734,ecole,Public,-1,2,-1,-1,1,1,2,2,2,62,28,81,44,72,33,53,27,39,16,33,13,340,340,0,0,64.289333,45.52236,36.238792,55.424212,42.077543,51.389515,340,3,0.654644,21,1,POINT (242964 827734)
51,51,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,KOUADIO-SAKASSOU,Un village,EPP KOUADIO-SAKASSOU,215890,827781,ecole,Public,-1,2,-1,-1,1,1,2,2,2,42,21,49,25,44,22,42,20,36,21,43,19,256,256,0,0,39.252337,37.79855,35.302008,34.045121,36.899509,32.085129,256,2,0.408728,21,1,POINT (215890 827781)
52,52,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,AKETE,Un village,EPP AKETE-SINGOLI,253011,829186,ecole,Public,-1,2,-1,-1,2,1,2,2,1,73,30,62,34,63,32,33,13,0,0,0,0,231,231,0,0,57.294144,30.944069,3.77166,50.331781,31.465608,47.893723,231,3,0.610111,18,1,POINT (253011 829186)
53,53,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,ANGAMANKRO,Un village,EPP ANGAMANKRO,259687,829273,ecole,Public,-1,2,-1,-1,2,1,1,2,1,72,34,61,26,48,20,73,26,38,15,48,23,340,340,0,0,44.055346,61.766217,34.84272,38.832397,56.009132,36.887746,340,2,0.469908,18,1,POINT (259687 829273)
54,54,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,BLEDI,Un village,EPP BLEDI BLESSOU 1,269998,829306,ecole,Public,-1,2,-1,-1,1,1,2,2,2,34,13,42,19,63,37,52,23,55,28,33,11,279,279,0,0,63.059563,52.471701,57.405429,59.845649,57.068074,61.994483,279,3,0.789739,21,1,POINT (269998 829306)
55,55,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,BLEDI,Un village,EPP BLEDI BLESSOU 2,269998,829306,ecole,Public,-1,2,-1,-1,1,1,2,2,2,39,23,32,14,0,0,0,0,0,0,0,0,71,71,0,0,2.178047,1.44349,1.690744,3.507548,2.96499,5.051965,71,1,0.064356,21,1,POINT (269998 829306)
56,56,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,KANGRE,Un village,EPP KANGRE,238482,829410,ecole,Public,-1,2,-1,-1,1,1,2,2,1,47,24,35,15,44,25,34,11,36,18,44,20,240,127,113,0,42.070985,32.433591,35.041893,38.512501,33.419825,38.358738,240,2,0.488646,18,1,POINT (238482 829410)
57,57,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,LINGUEBO,Un village,EPP LINGUEBO 2,206706,829518,ecole,Public,-1,2,-1,-1,1,1,2,2,2,56,27,50,17,47,25,48,22,42,16,27,11,270,270,0,0,44.616249,42.294179,39.906779,40.423067,40.29676,39.613549,270,2,0.504631,21,1,POINT (206706 829518)
58,58,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,LINGUEBO,Un village,EPP LINGUEBO 1,206693,829531,ecole,Public,-1,2,-1,-1,1,1,2,2,2,49,23,43,21,44,21,43,20,45,23,57,16,281,281,0,0,39.892939,36.845244,39.412934,34.832341,33.751475,32.740311,281,2,0.417074,21,1,POINT (206693 829531)
59,59,Point,PRIMAIRE,DJEBONOUA,GBÊKÊ,BOUAKE,DJEBONOUA,0,APOUIBO,Un village,EPP APOUIBO,274481,829628,ecole,Public,-1,2,-1,-1,1,1,2,2,2,42,23,43,22,46,23,49,24,37,18,66,30,283,282,1,0,45.177152,44.672003,36.568022,42.063054,44.109416,42.483599,283,3,0.541192,21,1,POINT (274481 829628)
60,60,Point,PRIMAIRE,BOTRO,GBÊKÊ,BOTRO,DIABO,0,ADIEKRO,Un village,EPP ADJEKRO,271611,829891,ecole,Public,-1,2,-1,-1,1,2,2,2,2,68,27,43,19,69,36,45,19,47,30,40,17,312,312,0,0,65.972043,43.266457,49.098112,60.307186,45.305376,59.931077,312,3,0.763453,21,1,POINT (271611 829891)
61,61,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,-1,KONAN MOUKRO,Un village,EPP KONAN MOUKRO,233926,830101,ecole,Public,-1,2,-1,-1,1,2,2,2,2,39,15,43,19,59,21,30,15,33,11,26,16,230,230,0,0,54.669182,27.47484,32.284307,48.608196,27.351176,46.693055,230,3,0.594816,21,1,POINT (233926 830101)
62,62,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,KEKRENOU,Un village,EPP KEKRENOU 1,216214,830282,ecole,Public,-1,2,-1,-1,1,1,2,2,2,27,15,45,16,44,18,34,18,34,10,26,9,210,210,0,0,37.330531,27.992084,29.778662,30.734099,24.516671,26.918245,210,2,0.342908,21,1,POINT (216214 830282)
63,63,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,ANDO,Un village,EPP ANDO 2,214935,830437,ecole,Public,-1,2,-1,-1,1,1,2,2,2,52,26,50,25,40,19,14,6,24,5,16,4,196,196,0,0,39.958505,15.412471,25.442178,37.625825,18.060851,38.398049,196,2,0.489147,21,1,POINT (214935 830437)
64,64,Point,PRIMAIRE,BEOUMI 2,GBÊKÊ,BEOUMI,ANDO-KEKRENOU,0,AGONASSOU,Un village,EPP AGONASSOU,212646,830477,ecole,Public,-1,2,-1,-1,1,1,2,2,2,29,15,0,0,26,18,17,8,0,0,0,0,72,72,0,0,26.543164,16.883022,3.901717,25.373053,18.255976,26.285199,72,2,0.334843,21,1,POINT (212646 830477)
65,65,Point,PRIMAIRE,SAKASSOU,GBÊKÊ,SAKASSOU,SAKASSOU,0,MAHOUNOU,Un village,EPP MAHOUNOU,249271,830557,ecole,Public,-1,2,-1,-1,1,1,1,2,1,57,19,68,26,55,26,54,28,63,24,53,23,350,222,128,0,48.200608,45.679431,56.348623,40.916023,41.41325,37.283282,350,2,0.474946,18,1,POINT (249271 830557)
