,Opportunity Unique Identifier,Bridge Name,Country,Level 1 Government,Level 2 Government,Level 3 Government,Level 4 Government,latitude,longitude,Reason site not valid,Site Validation Comments,Flag for Rejection,River crossing deaths in last 3 years,Incident descriptions,Days per year river is flooded,Flood duration during rainy season,Notes on social information,Width of River During Flooding (m),Health access blocked by river,Education access blocked by river,Market access blocked by river,Other access blocked by river,Form: Created Date,Form: Created By,geometry
10,1042876,Ardjoumakro,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.859994,-6.998704,,,No,0,2,3,3,Président Gsc  bledie,13,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",11/7/22,achilleyaoyao taroworks,POINT (-6.998704 4.859994)
11,1042872,Bledie,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.872372,-7.000259,,,No,0,5,3,3,,13,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",11/7/22,achilleyaoyao taroworks,POINT (-7.000259 4.872372)
12,1043160,Kouassi kra carrefour,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Bledie,4.856711,-6.977585,,,No,0,0,3,3,Président Gsc,14,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access",11/11/22,achilleyaoyao taroworks,POINT (-6.977585 4.856711)
13,1043280,Djikla 1,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Djikla,4.689941,-6.953835,,,No,0,0,60,60,Charge des réunions du GSC wouhasso,86,Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",11/18/22,achilleyaoyao taroworks,POINT (-6.953835 4.689941)
14,1043638,Oueoulo,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Oueoulo,4.657333,-7.083664,,,Yes,0,0,3,2,Secrétaire chargé du suivi des travaux du GSC de oueoulo,40,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",12/2/22,achilleyaoyao taroworks,POINT (-7.083664 4.657333)
15,1043640,Oulibio,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Oueoulo,4.648018,-7.078966,,,Yes,0,0,120,120,Secrétaire chargé du suivi des travaux,28,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Usine ou Installation de transformation agricole - Factory or processing facilities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",12/2/22,achilleyaoyao taroworks,POINT (-7.078966 4.648018)
16,1043639,Oulibio,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Wouhasso,4.655098,-7.084709,,,Yes,0,0,120,120,Secrétaire chargé du suivi des travaux du GSC de oueoulo,26,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",12/2/22,achilleyaoyao taroworks,POINT (-7.084709 4.655098)
17,1043258,Congodjan wate,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Adjamene,4.800409,-6.85029,,,No,2,Des difficultés à traverser sur une longue période,365,4,Président du GSC,50,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",11/16/22,achilleyaoyao taroworks,POINT (-6.85029 4.800409)
18,1043636,Mossikro,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Wouhasso,4.687584,-6.919484,,,No,0,0,15,15,Secrétaire chargé de l?information et de la communication du GSC de wouhasso,21,Hôpital - Hospital,,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court)",12/2/22,achilleyaoyao taroworks,POINT (-6.919484 4.687584)
19,1043478,Vincentkro 2,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Heremakono,4.870246,-7.095178,,,No,0,0,3,3,Secrétaire chargé de l'information du GSC de bledie,20,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",11/24/22,achilleyaoyao taroworks,POINT (-7.095178 4.870246)
20,1043472,Vincenkro,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Heremakono,4.871388,-7.089433,,,No,0,1,3,3,Secrétaire chargé à l?informations du GSC de bledie,17,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access",11/24/22,achilleyaoyao taroworks,POINT (-7.089433 4.871388)
21,1043476,Tagalogo,Cote d'Ivoire,San Pedro,San-Pédro,Dogbo,Heremakono,4.855157,-7.085248,,,No,0,0,3,3,Secrétaire Gsc  chargé de la communication et de l?information,20,Hôpital - Hospital,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",11/24/22,achilleyaoyao taroworks,POINT (-7.085248 4.855157)
22,1043279,Djikla 2,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Djikla,4.689798,-6.954209,,,No,0,0,60,60,Secrétaire chargé des réunions du GSC de wouhasso,35,Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;Achat des unités ou de données - Airtime or data purchase",11/18/22,achilleyaoyao taroworks,POINT (-6.954209 4.689798)
23,1043666,Grand djoro,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Oueoulo,4.611137,-7.066458,,,Yes,0,0,120,120,Secrétaire chargé du suivi des travaux du GSC de oueoulo,26,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access",12/2/22,achilleyaoyao taroworks,POINT (-7.066458 4.611137)
24,1043662,Grand djoro,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Oueoulo,4.601564,-7.061125,,,No,0,4,120,,Secrétaire chargé du suivi des travaux du GSC de oueoulo,95,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access",12/2/22,achilleyaoyao taroworks,POINT (-7.061125 4.601564)
25,1043203,Loukoukro  campement,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Adjamene,4.759453,-6.858535,,,Yes,0,Bloqué temporellement à des périodes de l'année,60,3,Membres de la communauté,105,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly),"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",11/14/22,achilleyaoyao taroworks,POINT (-6.858535 4.759453)
26,1043251,Quartier hevea,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Adjamene,4.773155,-6.842782,,,No,0,"Pas trop d,incident",90,3,Président de Gsc,45,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Opportunités d'emploi - Employment opportunities,"accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",11/16/22,achilleyaoyao taroworks,POINT (-6.842782 4.773155)
27,1043254,Quartier mosquet,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Adjamene,4.767304,-6.840091,,,No,0,Pas d?incident majeur,365,1,Président Gsc,70,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",11/16/22,achilleyaoyao taroworks,POINT (-6.840091 4.767304)
28,1043644,Oulibio,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Oueoulo,4.625654,-7.068141,,,Yes,0,0,120,120,Secrétaire chargé du suivi des travaux du GSC de oueoulo,72,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Usine ou Installation de transformation agricole - Factory or processing facilities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access",12/2/22,achilleyaoyao taroworks,POINT (-7.068141 4.625654)
29,1043642,Oulibio,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Oueoulo,4.629338,-7.066289,,,No,3,4,120,120,Secrétaire chargé du suivi des travaux du GSC de oueoulo,35,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Usine ou Installation de transformation agricole - Factory or processing facilities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",12/2/22,achilleyaoyao taroworks,POINT (-7.066289 4.629338)
30,1043645,Grand djoro,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Oueoulo,4.622963,-7.067725,,,No,0,0,120,120,Secrétaire chargé du suivi des travaux,63,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station",12/2/22,achilleyaoyao taroworks,POINT (-7.067725 4.622963)
31,1043253,Quartier mady,Cote d'Ivoire,San Pedro,San-Pédro,Grand bereby,Adjamene,4.769982,-6.840101,,,No,0,aucun incident majeur,80,2,Membres du GSC,70,,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",11/16/22,achilleyaoyao taroworks,POINT (-6.840101 4.769982)
