,Niveau,Dren,IEP,Region,Departemen,Sou_pref,Commune,Localite,Nat_loc,Nom_Etab,CoordX,CoordY,Statut,Fonctionne,Regime_eta,Milieu,Ordre_ense,Type_conf,Ecole_pt_e,Ecole_elec,Localite_e,Eligi_cart,Coges,TCP1,TFCP1,TCP2,TFCP2,TCE1,TFCE1,TCE2,TFCE2,TCM1,TFCM1,TCM2,TFCM2,Aire_total,Aire_inf_3,Aire__3_5,Aire_sup_5,Aire,Densite,CE2_18_19,CM1_18_19,CM2_18_19,CM1_19_20,CM2_19_20,CM2_20_21,Dens_class,densite_pr,Clas_prj_d,Ponde,geometry
11,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,DJOBLY,Un village,EPP DJOBLY,670423,497987,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,0,0,18,11,22,13,17,10,15,6,0,0,72,69,3,0,72,0.917197,18.665265,13.996042,13.137645,15.367049,12.258335,13.459122,1,0.171454,1,23,POINT (4301.853600000031 499326.20720000006)
12,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,OLODIO,-1,OUEDEBO,Un village,EPP OUEDEBO,679682,498271,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,1,13,8,9,5,19,8,25,8,0,0,0,0,66,66,0,0,66,0.840764,16.120002,20.582415,0.0,13.271543,18.026964,11.623788,1,0.148074,1,20,POINT (13587.02199999988 499534.4645000007)
13,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,0,MENEKE,Un village,EC MA DESTINEE,690671,499121,Privé,Ouverte,Mixte,2,0,-1,1,1,2,2,1,26,18,35,19,25,10,20,13,15,10,8,5,129,114,15,0,129,1.643312,21.210529,16.465932,13.137645,17.462556,14.421571,15.294457,3,0.194834,1,21,POINT (24609.480499999598 500295.6701999996)
14,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,GLIKE V3,Un village,EPP GLIKE V3,684093,499287,Public,Ouverte,Mixte,2,-1,-1,1,1,2,2,2,67,39,73,39,40,18,47,21,39,17,37,16,303,142,117,44,259,3.299363,33.936846,38.69494,34.157876,27.94009,33.890692,24.471132,3,0.311734,1,24,POINT (18017.272499999963 500516.49120000005)
15,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,NERO V 1,Un village,EPP NERO 2,668968,500598,Public,Ouverte,Mixte,2,-1,-1,2,2,1,2,2,46,24,60,30,40,17,58,27,31,19,37,20,272,257,15,0,272,3.464968,33.936846,47.751203,27.151133,27.94009,41.822556,24.471132,3,0.311734,1,24,POINT (2864.600300000049 501956.20299999975)
16,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,NERO CITE,Un village,EPP NERO 1,668948,500611,Public,Ouverte,Mixte,2,-1,-1,2,2,2,2,2,43,22,52,29,53,30,55,23,35,14,39,20,277,277,0,0,277,3.528662,44.966321,45.281313,30.654505,37.020619,39.65932,32.42425,3,0.413048,1,25,POINT (2844.654699999839 501969.4037999995)
17,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,GOZON,Un village,EPP GOZON,666937,501454,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,35,20,34,12,17,11,10,4,6,3,9,3,111,111,0,0,111,1.414013,14.42316,8.232966,5.255058,11.874538,7.210786,10.400231,2,0.132487,1,23,POINT (835.25 502831.3809999991)
18,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,OUELEKE,Un village,EPP OUELEKE,697772,501539,Public,Ouverte,Mixte,2,-1,-1,1,2,2,2,2,47,24,66,37,53,26,43,21,21,7,34,16,264,264,0,0,264,3.363057,47.272488,37.067319,20.083447,40.749724,34.393691,37.818972,3,0.48177,1,24,POINT (31746.54399999976 502660.24760000035)
19,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,DJAMANDJOKE,Un village,EPP YEOULI,659999,501767,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,31,20,32,10,21,9,23,11,16,9,28,11,151,151,0,0,151,1.923567,17.816844,18.935822,14.013488,14.668547,16.584807,12.847344,3,0.16366,1,23,POINT (-6119.321000000462 503202.96839999966)
20,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,SAN PEDRO,-1,KLOTOU,Un village,EPP KLOTOU,700818,503786,Public,Ouverte,Mixte,2,-1,-1,1,2,1,2,2,64,31,65,31,44,23,40,23,34,15,42,22,289,62,67,160,129,1.643312,40.661661,32.931864,29.778662,35.853448,28.843142,33.840309,3,0.431087,1,23,POINT (34817.871100000106 504886.7566999998)
21,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,NERO -VILLAGE,Un village,EPP NERO-VILLAGE,659965,503999,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,37,20,33,14,33,13,32,16,9,2,15,4,159,122,37,0,159,2.025478,27.997898,26.345491,7.882587,23.050574,23.074514,20.188684,3,0.257181,1,23,POINT (-6134.798399999738 505441.5488000009)
22,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,OUEGUIRE,Un village,EPP OUEGUIRE,686633,504225,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,69,26,78,40,61,30,60,33,30,11,74,31,372,359,5,8,364,4.636943,51.75369,49.397796,26.27529,42.608637,43.264713,37.318476,3,0.475395,1,23,POINT (20604.441300000064 505445.2249999996)
23,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,BLIDOUBA V2,Un village,EPP BLIDOUBA V2 B,666638,504454,Public,Ouverte,Mixte,2,-1,-1,1,2,2,2,2,56,30,61,29,50,30,63,41,33,18,46,26,309,300,5,4,305,3.88535,42.421057,51.867686,28.902819,34.925112,45.427949,30.588915,3,0.389668,1,24,POINT (560.4636000003666 505842.00049999915)
24,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,BLIDOUBA V2,Un village,EPP BLIDOUBA V2 A,666659,504478,Public,Ouverte,Mixte,2,-1,-1,2,2,2,2,2,52,24,50,18,53,19,62,37,45,20,63,35,325,306,14,5,320,4.076433,44.966321,51.044389,39.412934,37.020619,44.70687,32.42425,3,0.413048,1,25,POINT (581.721400000155 505865.88990000077)
25,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,MANI-BEREBY,Un village,EPP MANI-BEREBY,719641,505707,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,32,14,36,20,22,12,29,17,28,15,24,9,171,166,5,0,171,2.178344,21.483914,24.43079,25.17389,19.760453,22.051659,19.518562,3,0.248644,1,23,POINT (53694.38399999961 506654.20910000056)
26,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,GBAROKE,Un village,EPP GBAROKE,680399,506938,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,1,18,6,21,10,21,7,29,14,0,0,0,0,89,35,54,0,89,1.133758,17.816844,23.875601,0.0,14.668547,20.911278,12.847344,1,0.16366,1,20,POINT (14378.022099999711 508217.06540000066)
27,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,OLODIO,-1,BLIDOUBA,Un village,EPP BLIDOUBA VILLAGE,675116,508017,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,39,15,36,17,28,14,42,22,13,5,17,5,175,167,8,0,175,2.229299,23.755792,34.578457,11.385959,19.558063,30.285299,17.129792,3,0.218214,1,23,POINT (9090.7555999998 509343.23870000057)
28,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,DOLE 1,Un village,EPP DOLE,702649,508191,Public,Ouverte,Mixte,2,-1,-1,2,2,2,2,2,72,41,78,39,80,35,80,46,44,22,70,36,424,209,131,84,340,4.33121,76.714,73.969478,45.039954,70.366188,73.946803,70.215453,3,0.894464,1,25,POINT (36689.69799999986 509285.7893000003)
29,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,0,IBOKE,Un village,EPP IBOKE,695643,508856,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,55,25,68,30,42,20,37,15,23,12,31,15,256,162,80,14,242,3.082803,38.324217,32.238577,23.525877,33.669223,30.498274,31.95497,3,0.40707,1,23,POINT (29674.08389999997 510011.26300000027)
30,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,DJOUROUTOU,-1,RANOUEKE,Un village,EPP GEORGES-TOWN,662180,509479,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,79,36,76,43,58,26,62,31,52,22,59,21,386,360,0,26,360,4.585987,49.208427,51.044389,45.543835,40.51313,44.70687,35.483141,3,0.452014,1,23,POINT (-3867.531100000255 510918.28720000014)
31,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,0,MENEKE,Un village,EPP MENEKE,723579,509579,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,30,16,32,16,23,16,27,10,20,6,29,14,161,161,0,0,161,2.050955,25.150984,24.449762,19.597776,24.975653,23.962985,26.585595,3,0.33867,1,23,POINT (57672.023199999705 510500.0809000004)
32,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,MENEKE,Un village,EPP MENEKE,723579,509579,Public,Ouverte,Mixte,2,-1,-1,1,1,2,2,2,114,56,71,40,65,32,82,42,70,28,62,29,464,437,27,0,464,5.910828,55.147375,67.510321,61.309009,45.402646,59.128441,39.765589,3,0.506568,1,24,POINT (57672.023199999705 510500.0809000004)
33,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,GNENAHOLEKE,Un village,EPP GNENAHOLEKE,679435,509849,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,55,27,32,19,25,12,26,12,12,5,15,10,165,165,0,0,165,2.101911,21.210529,21.405712,10.510116,17.462556,18.748042,15.294457,3,0.194834,1,23,POINT (13436.155600000173 511143.43840000033)
34,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,OLODIO,-1,IDIOKE,Un village,EPP IDIOKE,674397,510584,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,19,11,22,8,17,9,25,9,14,4,14,8,111,100,11,0,111,1.414013,14.42316,20.582415,12.261802,11.874538,18.026964,10.400231,2,0.132487,1,23,POINT (8391.580400000326 511922.9204999991)
35,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,0,ROC,Un village,EPP ROC,725958,510712,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,28,15,34,16,26,14,26,13,33,15,36,15,183,183,0,0,183,2.33121,32.692943,25.958256,35.405681,35.009099,28.2514,39.682318,3,0.505507,1,23,POINT (60064.75189999957 511614.9678000007)
36,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,PATAKE,Un village,EPP PATAKE,695089,510944,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,68,30,69,33,50,24,62,26,42,20,43,20,334,204,106,24,310,3.949045,46.26467,55.374859,40.947237,41.312899,53.483437,40.138513,3,0.511319,1,23,POINT (29136.487999999896 512108.6087999996)
37,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,SINGHE,Un village,EPP SINGHE,710850,511616,Public,Ouverte,Mixte,2,-1,-1,2,2,2,2,2,66,36,65,36,78,49,97,58,79,35,78,35,463,192,153,118,345,4.394904,73.351592,85.189579,74.393886,66.101275,80.756957,64.552324,3,0.822323,1,25,POINT (44936.4068 512648.5267999992)
38,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,WATE,Un village,EPP WATE -SOGB,719233,512634,Public,Ouverte,Mixte,2,-1,-1,1,1,2,2,2,34,14,50,16,51,21,41,19,37,14,31,10,244,244,0,0,244,3.10828,53.390991,40.861572,39.299224,51.967639,43.975033,54.79846,3,0.69807,1,24,POINT (53344.039400000125 513597.3707999997)
39,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,DAHIE,Un village,EPP DAHIE,683488,512663,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,57,32,66,28,63,25,77,36,53,18,48,17,364,246,118,0,364,4.636943,53.450532,63.393838,46.419678,44.005642,55.523049,38.542032,3,0.490981,1,23,POINT (17522.989799999632 513930.0223999992)
40,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,OLODIO,-1,TEPO-IBOKE,Un village,EPP TEPO-IBOKE,671788,513491,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,63,33,46,25,28,15,41,20,23,12,19,7,220,184,17,19,201,2.56051,23.755792,33.755161,20.144389,19.558063,29.564221,17.129792,3,0.218214,1,23,POINT (5800.472000000067 514859.6347000003)
41,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,DJIMBO,Un village,EPP DJIMBO,697564,514163,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,66,33,63,32,46,18,35,17,27,11,42,20,279,279,0,0,279,3.55414,45.305273,32.368587,29.240222,42.173647,32.722251,42.506199,3,0.54148,1,23,POINT (31644.31520000007 515313.7277000006)
42,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,HYRRE,Un village,EPP HYRRE,677649,514392,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,26,10,24,9,27,13,21,8,25,10,12,5,135,125,10,0,135,1.719745,22.907371,17.289229,21.896075,18.859561,15.14265,16.518014,3,0.210421,1,23,POINT (11684.239400000311 515713.0127000008)
43,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,OLODIO,-1,TOUPA,Un village,EPP TOUPAH,659984,515627,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,1,29,15,27,13,0,0,0,0,0,0,0,0,56,56,0,0,56,0.713376,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,20,POINT (-6017.414499999955 517102.1743000001)
44,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,NANE,Un village,EPP NANE,715997,515994,Public,Ouverte,Mixte,2,-1,-1,1,2,1,2,2,59,32,51,24,49,28,46,21,31,15,36,20,272,272,0,0,272,3.464968,50.284824,41.646925,31.182907,48.034875,40.873459,49.450091,3,0.629938,1,23,POINT (50130.61950000003 516991.1992000006)
45,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,OUEOULO,Un village,EPP OUEOULO 1,712644,516000,Public,Ouverte,Mixte,2,-1,-1,1,2,1,2,2,66,42,47,20,43,19,47,20,31,14,44,21,278,278,0,0,278,3.541401,45.706778,44.579937,35.084624,44.865712,46.114049,47.637322,3,0.606845,1,23,POINT (46771.234799999744 517025.86360000074)
46,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,OUEOULO,Un village,EPP OUEOULO 2,712655,516043,Public,Ouverte,Mixte,2,-1,-1,1,2,1,2,2,67,21,63,34,53,33,44,24,30,16,40,17,297,297,0,0,297,3.783439,47.016247,37.002314,27.966034,40.257293,33.425479,36.980412,3,0.471088,1,23,POINT (46782.623700000346 517068.85339999944)
47,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,GBORO,Un village,EPP GBORO,726654,516809,Public,Ouverte,Mixte,2,-1,-1,1,2,1,2,2,20,10,19,12,16,10,20,7,15,11,21,7,111,111,0,0,111,1.414013,17.29023,19.241874,14.828389,17.194313,19.920497,18.494357,2,0.235597,1,23,POINT (60813.80960000027 517716.5468000006)
48,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,MANE,Un campement,EPP MANE,678283,516908,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,70,43,60,28,57,25,44,20,25,11,24,4,280,280,0,0,280,3.566879,48.360005,36.22505,21.896075,39.814628,31.727456,34.871363,3,0.444221,1,23,POINT (12341.345399999991 518229.93459999934)
49,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,SAN PEDRO,0,OURO,Un village,EPP OURO,735544,517015,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,29,15,27,16,21,13,33,15,20,7,22,12,152,120,24,8,144,1.834395,22.301058,29.94473,21.028405,21.868213,29.531327,23.181447,3,0.295305,1,23,POINT (69720.17050000001 517846.81680000015)
50,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,DEKO,Un village,EPP DEKO 2,712796,517017,Public,Ouverte,Mixte,2,-1,-1,2,2,2,2,2,53,26,61,33,64,34,68,29,58,30,75,34,379,318,52,9,370,4.713376,58.783168,59.648412,53.660153,52.002444,56.373792,49.783007,3,0.634178,1,25,POINT (46932.23029999994 518043.5423000008)
51,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,DEKO,Un quartier (Ville),EPP DEKO 1,712776,517034,Public,Ouverte,Mixte,2,-1,-1,2,2,2,2,2,57,28,37,21,56,25,56,33,42,21,55,35,303,223,80,0,303,3.859873,54.814447,51.32338,40.166894,50.918794,50.744767,51.290375,3,0.653381,1,25,POINT (46912.33700000029 518060.7466000002)
52,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,DJOUROUTOU,-1,IROUTOU,Un village,EPP IROUTOU,661319,517342,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,33,17,0,0,12,5,33,10,0,0,0,0,78,58,20,0,78,0.993631,10.181054,27.168788,0.0,8.382027,23.795592,7.34134,1,0.09352,1,23,POINT (-4663.975899999961 518810.55140000023)
53,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,KOTO 1,Un village,EPP KOTO -SOGB,712562,517532,Public,Ouverte,Mixte,2,-1,-1,2,2,2,2,2,52,23,67,37,64,36,66,33,42,21,39,20,330,133,197,0,330,4.203822,60.320612,59.889459,42.24781,54.57482,58.859675,53.672252,3,0.683723,1,25,POINT (46702.18680000026 518561.5493000001)
54,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,-1,SOGB,Un village,EPP TIEPE 2,712562,517532,Public,Ouverte,Mixte,2,-1,-1,1,2,2,2,2,56,23,74,45,52,26,82,45,68,39,76,43,408,405,3,0,408,5.197452,47.961512,71.618715,63.979269,42.685244,67.516515,41.289946,3,0.525987,1,24,POINT (46702.18680000026 518561.5493000001)
55,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,0,TAKORO,Un village,EPP TAKORO,739623,517684,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,23,16,18,7,25,13,22,6,20,12,22,9,130,115,15,0,130,1.656051,27.744669,22.776108,22.589092,28.022189,25.392183,30.565139,3,0.389365,1,23,POINT (73811.1595999999 518481.9179999996)
56,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,0,DJIKLA,Un village,EPP DJIKLA,726387,518602,Public,Ouverte,Mixte,2,-1,-1,1,2,1,2,2,70,36,59,31,41,17,54,22,52,25,58,19,334,323,0,11,323,4.11465,38.628879,44.458016,45.543835,34.545533,38.938242,33.069908,3,0.421273,1,23,POINT (60561.71839999966 519514.9146999996)
57,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,IBOKE V2,Un village,EPP IBOKE V2 C,676620,518667,Public,Ouverte,Mixte,2,-1,-1,1,2,2,2,1,44,23,0,0,41,23,53,30,27,14,21,8,186,186,0,0,186,2.369427,34.785267,43.63472,23.647761,28.638592,38.217163,25.08291,3,0.319528,1,21,POINT (10689.239699999802 520007.65729999915)
58,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,OLODIO,-1,IBOKE V3,Un village,EPP IBOKE V3,676620,518667,Public,Ouverte,Mixte,2,-1,-1,1,1,2,2,2,60,28,49,23,52,28,54,27,35,13,33,14,283,283,0,0,283,3.605096,44.1179,44.458016,30.654505,36.322117,38.938242,31.812471,3,0.405254,1,24,POINT (10689.239699999802 520007.65729999915)
59,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,IBOKE V2,Un village,EPP IBOKE V2 B,676566,518721,Public,Ouverte,Mixte,2,-1,-1,1,2,2,2,2,55,30,65,32,51,30,57,37,36,27,53,31,317,317,0,0,317,4.038217,43.269479,46.927906,31.530347,35.623615,41.101477,31.200693,3,0.397461,1,24,POINT (10635.566700000316 520062.2588999998)
60,PRIMAIRE,SAN-PEDRO,TABOU,SAN PEDRO,TABOU,TABOU,-1,IBOKE V2,Un village,EPP IBOKE V2 A,676611,518764,Public,Ouverte,Mixte,2,-1,-1,2,2,2,2,2,55,27,74,28,53,28,59,28,39,22,41,22,321,321,0,0,321,4.089172,44.966321,48.574499,34.157876,37.020619,42.543635,32.42425,3,0.413048,1,25,POINT (10681.050999999978 520104.9813000001)
61,PRIMAIRE,SAN-PEDRO,GRAND-BEREBY,SAN PEDRO,SAN PEDRO,GRAND-BEREBY,0,NANE SS,Un campement,EPP NANE SS,720908,518918,Public,Ouverte,Mixte,2,-1,-1,1,1,1,2,2,23,14,20,11,21,13,30,15,19,10,20,10,133,120,13,0,133,1.694268,28.450838,29.806631,25.614967,31.578235,32.512903,36.856533,3,0.46951,1,23,POINT (55075.76350000035 519878.53089999966)
