,Level 4 Government,Count,Level 3 Government,Level 2 Government,Level 1 Government
40,Assouakro,4,Djébonoua,Bouaké,Gbeke
41,Saminikro,4,Brobo,Bouaké,Gbeke
42,Bounda,4,Brobo,Bouaké,Gbeke
43,Siahé,4,Grabo,Tabou,San Pedro
44,Kpékékro (Mamini),4,Brobo,Bouaké,Gbeke
45,Mahino3,4,DJOUROUTOU,Tabou,San Pedro
46,Djikla,3,Grand bereby,San-Pédro,San Pedro
47,Linguébo,3,Ando-Kékrénou,Béoumi,Gbeke
48,Ahouzankro (Bassin de Mamini),3,Brobo,Bouaké,Gbeke
49,Lokassou,3,Djebonoua,Bouaké,Gbeke
50,Diéribanouan,3,Lolobo,Béoumi,Gbeke
51,Béhéké (Bassin de Klèmèkro),3,Languibonou,Botro,Gbeke
52,Raffierkro,3,COMMUNE DE Bouake,Bouaké,Gbeke
53,Kouakou-Bakakro,3,Bodokro,Béoumi,Gbeke
54,Mahino 3,3,DJOUROUTOU,Tabou,San Pedro
55,Yéguébo-Bouakro,3,Brobo,Bouaké,Gbeke
56,Béhéké(Bassin de Languibonou),2,Languibonou,Botro,Gbeke
57,N?Zègouanou,2,Lolobo,Béoumi,Gbeke
58,Tanou-Broukro (Bassin de Saminikro),2,Brobo,Bouaké,Gbeke
59,Béhéké (Bassin de Languibonou),2,Languibonou,Botro,Gbeke
60,Béhéké(Bassin de Klèmèkro),2,Languibonou,Botro,Gbeke
61,Gbarou,2,DJOUROUTOU,Tabou,San Pedro
62,Nouin,2,Grabo,Tabou,San Pedro
63,Mané,2,Tabou,Tabou,San Pedro
64,Koblékro,2,Commune de Bouaké,Bouaké,Gbeke
65,Kanango Kpli,2,Sakassou,Sakassou,Gbeke
66,N?Zuégouanou,2,Lolobo,Béoumi,Gbeke
67,Lokassou (Bassin de Assengou),2,Djébonoua,Bouaké,Gbeke
68,N?zikro,2,Krofoinsou,Botro,Gbeke
69,Klèmèkro,2,Languibonou,Botro,Gbeke
70,Sinzèkro,2,Diabo,Botro,Gbeke
71,Mamini (Bassin de Mamini),2,Brobo,Bouaké,Gbeke
72,Alloukro (Bassin de Mamini),2,Brobo,Bouaké,Gbeke
73,Takassou(Bassin de Saminikro),2,Brobo,Bouaké,Gbeke
74,Abouzè-kouadiokro,1,Lolobo,Béoumi,Gbeke
75,Djihouloké,1,Tabou,Tabou,San Pedro
76,Diéribanou,1,Lolobo,Béoumi,Gbeke
77,Lolobo,1,Lolobo,Béoumi,Gbeke
78,Kouakou kouadiokro (Bassin de Yéguébo-Bouakro),1,Brobo,Bouaké,Gbeke
79,Langbabokohoun,1,Brobo,Bouaké,Gbeke
80,Fahris_Oko(Bassin de Kahankro),1,Commune de Bouake,Bouaké,Gbeke
81,Plateau,1,DJOUROUTOU,Tabou,San Pedro
82,Seh,1,Olodio,Tabou,San Pedro
83,Klodio,1,Olodio,Tabou,San Pedro
84,Hyrré,1,Tabou,Tabou,San Pedro
85,Belle-Ahoukro (Akanzakro),1,Dibri,Sakassou,Gbeke
86,MAHINO1,1,DJOUROUTOU,Tabou,San Pedro
87,Mahino2,1,DJOUROUTOU,Tabou,San Pedro
88,GBAROU,1,DJOUROUTOU,Tabou,San Pedro
89,Anoufoue Bounou,1,Sakassou,Sakassou,Gbeke
90,Gbangbokro,1,Gnity,San-Pédro,San Pedro
91,Touih,1,Gabiadji,San-Pédro,San Pedro
92,Fahe yobouekro,1,Gabiadji,San-Pédro,San Pedro
93,Grobonou  dan,1,Gabiadji,San-Pédro,San Pedro
94,Djourou,1,Grand bereby,San-Pédro,San Pedro
95,Oulibio,1,Grand bereby,San-Pédro,San Pedro
96,Fahris_Oko,1,Commune de Bouaké,Bouaké,Gbeke
97,Kouadianikro(Bassin Bounda),1,Brobo,Bouaké,Gbeke
98,Koblékro(Kongonibo),1,Commune de Bouaké,Bouaké,Gbeke
99,Plongo (Bassin de  Kondoukro),1,Djébonoua,Bouaké,Gbeke
100,Kpékékro (Bassin  de  Mamini),1,Brobo,Bouaké,Gbeke
101,Bobokro (Mamini),1,Brobo,Bouaké,Gbeke
102,Plongo(Bassin de Djébonoua),1,Djébonoua,Bouaké,Gbeke
103,Klèmèkro (wandékouassikro),1,Languibonou,Botro,Gbeke
104,Tanou-Broukro ( Bassin  de  Saminikro),1,Brobo,Bouaké,Gbeke
105,Mamini,1,Brobo,Bouaké,Gbeke
106,Kouakou kouadiokro(Bassin  de Yéguébo-Bouakro),1,Brobo,Bouaké,Gbeke
107,Béhéké (Bassin de  Languibonou),1,Languibonou,Botro,Gbeke
108,Zougban (Saminikro),1,Brobo,Bouaké,Gbeke
109,Takassou (Bassin de Mamini.),1,Brobo,Bouaké,Gbeke
110,Gomo(Bassin  de Assouakro),1,Djébonoua,Bouaké,Gbeke
111,Gomo( Bassin Assouakro),1,Djébonoua,Bouaké,Gbeke
112,Plongo (Bassin de Kondoukro),1,Djébonoua,Bouaké,Gbeke
113,Bobokro,1,Brobo,Bouaké,Gbeke
114,Bobokro (Bassin de Mamini),1,Brobo,Bouaké,Gbeke
115,Fahris_Oko (Kahankro),1,Commune de Bouaké,Bouaké,Gbeke
116,Koubékro (Bassin  Mamini),1,Brobo,Bouaké,Gbeke
117,Takassou (Bassin de Mamini),1,Brobo,Bouaké,Gbeke
118,Ahouzankro (Bassin  de Mamini),1,Brobo,Bouaké,Gbeke
119,Kouadianikro,1,Brobo,Bouaké,Gbeke
120,Kouadianikro (Bassin de Bounda),1,Brobo,Bouaké,Gbeke
121,Belle-Ahoukro 3(Akanzakro),1,Dibri Assrikro,Sakassou,Gbeke
122,Tanou-Broukro(Bassin de Saminikro),1,Brobo,Bouaké,Gbeke
123,Tanou-Broukro (Bassin de  Saminikro),1,Brobo,Bouaké,Gbeke
124,Fahris_Oko (Bassin de Kahankro),1,Commune de Bouake,Bouaké,Gbeke
125,Assengou,1,Djebonoua,Bouaké,Gbeke
126,Béhéké (Languibonou),1,Languibonou,Botro,Gbeke
127,Ahodji(Raffierkro),1,Commune de Bouaké,Bouaké,Gbeke
128,Kouadianikro (Bounda),1,Brobo,Bouaké,Gbeke
129,Belle-Ahoukro(Akanzakro),1,Dibri Assrikro,Sakassou,Gbeke
130,Ahouzankro Bassin de Mamini),1,Brobo,Bouaké,Gbeke
