,Level 4 Government,Count,Level 3 Government,Level 2 Government,Level 1 Government
40,Bounda,4,Brobo,Bouaké,Gbeke
41,Assouakro,4,Djébonoua,Bouaké,Gbeke
42,Saminikro,4,Brobo,Bouaké,Gbeke
43,Mahino3,4,DJOUROUTOU,Tabou,San Pedro
44,Kpékékro (Mamini),4,Brobo,Bouaké,Gbeke
45,Siahé,4,Grabo,Tabou,San Pedro
46,Linguébo,3,Ando-Kékrénou,Béoumi,Gbeke
47,Béhéké (Bassin de Klèmèkro),3,Languibonou,Botro,Gbeke
48,Diéribanouan,3,Lolobo,Béoumi,Gbeke
49,Lokassou,3,Djebonoua,Bouaké,Gbeke
50,Raffierkro,3,COMMUNE DE Bouake,Bouaké,Gbeke
51,Ahouzankro (Bassin de Mamini),3,Brobo,Bouaké,Gbeke
52,Kouakou-Bakakro,3,Bodokro,Béoumi,Gbeke
53,Mahino 3,3,DJOUROUTOU,Tabou,San Pedro
54,Djikla,3,Grand bereby,San-Pédro,San Pedro
55,Yéguébo-Bouakro,3,Brobo,Bouaké,Gbeke
56,Tanou-Broukro (Bassin de Saminikro),2,Brobo,Bouaké,Gbeke
57,Klèmèkro,2,Languibonou,Botro,Gbeke
58,Mané,2,Tabou,Tabou,San Pedro
59,Koblékro,2,Commune de Bouaké,Bouaké,Gbeke
60,Lokassou (Bassin de Assengou),2,Djébonoua,Bouaké,Gbeke
61,N?Zuégouanou,2,Lolobo,Béoumi,Gbeke
62,Béhéké(Bassin de Klèmèkro),2,Languibonou,Botro,Gbeke
63,N?Zègouanou,2,Lolobo,Béoumi,Gbeke
64,Gbarou,2,DJOUROUTOU,Tabou,San Pedro
65,Béhéké (Bassin de Languibonou),2,Languibonou,Botro,Gbeke
66,Nouin,2,Grabo,Tabou,San Pedro
67,Kanango Kpli,2,Sakassou,Sakassou,Gbeke
68,N?zikro,2,Krofoinsou,Botro,Gbeke
69,Takassou(Bassin de Saminikro),2,Brobo,Bouaké,Gbeke
70,Sinzèkro,2,Diabo,Botro,Gbeke
71,Béhéké(Bassin de Languibonou),2,Languibonou,Botro,Gbeke
72,Mamini (Bassin de Mamini),2,Brobo,Bouaké,Gbeke
73,Alloukro (Bassin de Mamini),2,Brobo,Bouaké,Gbeke
74,Anoufoue Bounou,1,Sakassou,Sakassou,Gbeke
75,Hyrré,1,Tabou,Tabou,San Pedro
76,Fahris_Oko,1,Commune de Bouaké,Bouaké,Gbeke
77,Fahris_Oko(Bassin de Kahankro),1,Commune de Bouake,Bouaké,Gbeke
78,Faye,1,Gabiadji test,San-Pédro,Gbeke
79,Seh,1,Olodio,Tabou,San Pedro
80,Diéribanou,1,Lolobo,Béoumi,Gbeke
81,Klodio,1,Olodio,Tabou,San Pedro
82,Oulibio,1,Grand bereby,San-Pédro,San Pedro
83,Djourou,1,Grand bereby,San-Pédro,San Pedro
84,Abouzè-kouadiokro,1,Lolobo,Béoumi,Gbeke
85,Grobonou  dan,1,Gabiadji,San-Pédro,San Pedro
86,Lolobo,1,Lolobo,Béoumi,Gbeke
87,FAHE,1,Gabiadji,San-Pédro,Gbeke
88,Fahe yobouekro,1,Gabiadji,San-Pédro,San Pedro
89,Touih,1,Gabiadji,San-Pédro,San Pedro
90,Mossikto,1,Grand Bereby,San-Pédro,Gbeke
91,GRAND DJOUROU,1,GRAND BEREBY,San-Pédro,San Pedro
92,Mossikro Test,1,GRAND BEREBY,San-Pédro,San Pedro
93,Plateau,1,DJOUROUTOU,Tabou,San Pedro
94,Koblékro(Kongonibo),1,Commune de Bouaké,Bouaké,Gbeke
95,MAHINO1,1,DJOUROUTOU,Tabou,San Pedro
96,Mahino2,1,DJOUROUTOU,Tabou,San Pedro
97,GBAROU,1,DJOUROUTOU,Tabou,San Pedro
98,Gbangbokro,1,Gnity,San-Pédro,San Pedro
99,Belle-Ahoukro (Akanzakro),1,Dibri,Sakassou,Gbeke
100,Kouadianikro(Bassin Bounda),1,Brobo,Bouaké,Gbeke
101,Fahris_Oko (Kahankro),1,Commune de Bouaké,Bouaké,Gbeke
102,Belle-Ahoukro(Akanzakro),1,Dibri Assrikro,Sakassou,Gbeke
103,Gomo( Bassin Assouakro),1,Djébonoua,Bouaké,Gbeke
104,Gomo(Bassin  de Assouakro),1,Djébonoua,Bouaké,Gbeke
105,Takassou (Bassin de Mamini.),1,Brobo,Bouaké,Gbeke
106,Zougban (Saminikro),1,Brobo,Bouaké,Gbeke
107,Béhéké (Bassin de  Languibonou),1,Languibonou,Botro,Gbeke
108,Tanou-Broukro(Bassin de Saminikro),1,Brobo,Bouaké,Gbeke
109,Mamini,1,Brobo,Bouaké,Gbeke
110,Mossikro,1,Grand bereby,San-Pédro,San Pedro
111,Tanou-Broukro ( Bassin  de  Saminikro),1,Brobo,Bouaké,Gbeke
112,Kouakou kouadiokro(Bassin  de Yéguébo-Bouakro),1,Brobo,Bouaké,Gbeke
113,Plongo(Bassin de Djébonoua),1,Djébonoua,Bouaké,Gbeke
114,Bobokro (Mamini),1,Brobo,Bouaké,Gbeke
115,Kpékékro (Bassin  de  Mamini),1,Brobo,Bouaké,Gbeke
116,Béhéké (Languibonou),1,Languibonou,Botro,Gbeke
117,Klèmèkro (wandékouassikro),1,Languibonou,Botro,Gbeke
118,Plongo (Bassin de Kondoukro),1,Djébonoua,Bouaké,Gbeke
119,Bobokro,1,Brobo,Bouaké,Gbeke
120,Plongo (Bassin de  Kondoukro),1,Djébonoua,Bouaké,Gbeke
121,Belle-Ahoukro 3(Akanzakro),1,Dibri Assrikro,Sakassou,Gbeke
122,Kouadianikro (Bounda),1,Brobo,Bouaké,Gbeke
123,Ahodji(Raffierkro),1,Commune de Bouaké,Bouaké,Gbeke
124,Assengou,1,Djebonoua,Bouaké,Gbeke
125,Fahris_Oko (Bassin de Kahankro),1,Commune de Bouake,Bouaké,Gbeke
126,Djihouloké,1,Tabou,Tabou,San Pedro
127,Kouakou kouadiokro (Bassin de Yéguébo-Bouakro),1,Brobo,Bouaké,Gbeke
128,Kouadianikro (Bassin de Bounda),1,Brobo,Bouaké,Gbeke
129,Bobokro (Bassin de Mamini),1,Brobo,Bouaké,Gbeke
130,Kouadianikro,1,Brobo,Bouaké,Gbeke
131,Langbabokohoun,1,Brobo,Bouaké,Gbeke
132,Tanou-Broukro (Bassin de  Saminikro),1,Brobo,Bouaké,Gbeke
133,Ahouzankro (Bassin  de Mamini),1,Brobo,Bouaké,Gbeke
134,Takassou (Bassin de Mamini),1,Brobo,Bouaké,Gbeke
135,Koubékro (Bassin  Mamini),1,Brobo,Bouaké,Gbeke
136,Ahouzankro Bassin de Mamini),1,Brobo,Bouaké,Gbeke
