,Level 4 Government,Count,Level 3 Government,Level 2 Government,Level 1 Government
40,Bounda,4,Brobo,Bouaké,Gbeke
41,Assouakro,4,Djébonoua,Bouaké,Gbeke
42,Kpékékro (Mamini),4,Brobo,Bouaké,Gbeke
43,Saminikro,4,Brobo,Bouaké,Gbeke
44,Siahé,4,Grabo,Tabou,San Pedro
45,Mahino3,4,DJOUROUTOU,Tabou,San Pedro
46,Kouakou-Bakakro,3,Bodokro,Béoumi,Gbeke
47,Béhéké (Bassin de Klèmèkro),3,Languibonou,Botro,Gbeke
48,Linguébo,3,Ando-Kékrénou,Béoumi,Gbeke
49,Djikla,3,Grand bereby,San-Pédro,San Pedro
50,Mahino 3,3,DJOUROUTOU,Tabou,San Pedro
51,Raffierkro,3,COMMUNE DE Bouake,Bouaké,Gbeke
52,Yéguébo-Bouakro,3,Brobo,Bouaké,Gbeke
53,Lokassou,3,Djebonoua,Bouaké,Gbeke
54,Ahouzankro (Bassin de Mamini),3,Brobo,Bouaké,Gbeke
55,Diéribanouan,3,Lolobo,Béoumi,Gbeke
56,Mané,2,Tabou,Tabou,San Pedro
57,Béhéké(Bassin de Klèmèkro),2,Languibonou,Botro,Gbeke
58,Lokassou (Bassin de Assengou),2,Djébonoua,Bouaké,Gbeke
59,N?Zuégouanou,2,Lolobo,Béoumi,Gbeke
60,N?Zègouanou,2,Lolobo,Béoumi,Gbeke
61,Gbarou,2,DJOUROUTOU,Tabou,San Pedro
62,Nouin,2,Grabo,Tabou,San Pedro
63,Kanango Kpli,2,Sakassou,Sakassou,Gbeke
64,Béhéké (Bassin de Languibonou),2,Languibonou,Botro,Gbeke
65,Takassou(Bassin de Saminikro),2,Brobo,Bouaké,Gbeke
66,Klèmèkro,2,Languibonou,Botro,Gbeke
67,Sinzèkro,2,Diabo,Botro,Gbeke
68,Alloukro (Bassin de Mamini),2,Brobo,Bouaké,Gbeke
69,Tanou-Broukro (Bassin de Saminikro),2,Brobo,Bouaké,Gbeke
70,Béhéké(Bassin de Languibonou),2,Languibonou,Botro,Gbeke
71,N?zikro,2,Krofoinsou,Botro,Gbeke
72,Mamini (Bassin de Mamini),2,Brobo,Bouaké,Gbeke
73,Seh,1,Olodio,Tabou,San Pedro
74,Kpékékro (Bassin  de  Mamini),1,Brobo,Bouaké,Gbeke
75,Abouzè-kouadiokro,1,Lolobo,Béoumi,Gbeke
76,Klodio,1,Olodio,Tabou,San Pedro
77,Lolobo,1,Lolobo,Béoumi,Gbeke
78,Béhéké (Languibonou),1,Languibonou,Botro,Gbeke
79,Hyrré,1,Tabou,Tabou,San Pedro
80,Klèmèkro (wandékouassikro),1,Languibonou,Botro,Gbeke
81,Plateau,1,DJOUROUTOU,Tabou,San Pedro
82,Kouakou kouadiokro (Bassin de Yéguébo-Bouakro),1,Brobo,Bouaké,Gbeke
83,Bobokro (Mamini),1,Brobo,Bouaké,Gbeke
84,MAHINO1,1,DJOUROUTOU,Tabou,San Pedro
85,Mahino2,1,DJOUROUTOU,Tabou,San Pedro
86,Tanou-Broukro(Bassin de Saminikro),1,Brobo,Bouaké,Gbeke
87,GBAROU,1,DJOUROUTOU,Tabou,San Pedro
88,Anoufoue Bounou,1,Sakassou,Sakassou,Gbeke
89,Gbangbokro,1,Gnity,San-Pédro,San Pedro
90,Touih,1,Gabiadji,San-Pédro,San Pedro
91,Grobonou  dan,1,Gabiadji,San-Pédro,San Pedro
92,Djourou,1,Grand bereby,San-Pédro,San Pedro
93,Oulibio,1,Grand bereby,San-Pédro,San Pedro
94,Kouakou kouadiokro(Bassin  de Yéguébo-Bouakro),1,Brobo,Bouaké,Gbeke
95,Diéribanou,1,Lolobo,Béoumi,Gbeke
96,Plongo(Bassin de Djébonoua),1,Djébonoua,Bouaké,Gbeke
97,Mamini,1,Brobo,Bouaké,Gbeke
98,Ahouzankro (Bassin  de Mamini),1,Brobo,Bouaké,Gbeke
99,Béhéké (Bassin de  Languibonou),1,Languibonou,Botro,Gbeke
100,Zougban (Saminikro),1,Brobo,Bouaké,Gbeke
101,Takassou (Bassin de Mamini.),1,Brobo,Bouaké,Gbeke
102,Gomo(Bassin  de Assouakro),1,Djébonoua,Bouaké,Gbeke
103,Gomo( Bassin Assouakro),1,Djébonoua,Bouaké,Gbeke
104,Plongo (Bassin de Kondoukro),1,Djébonoua,Bouaké,Gbeke
105,Bobokro,1,Brobo,Bouaké,Gbeke
106,Plongo (Bassin de  Kondoukro),1,Djébonoua,Bouaké,Gbeke
107,Bobokro (Bassin de Mamini),1,Brobo,Bouaké,Gbeke
108,Ahouzankro Bassin de Mamini),1,Brobo,Bouaké,Gbeke
109,Koubékro (Bassin  Mamini),1,Brobo,Bouaké,Gbeke
110,Takassou (Bassin de Mamini),1,Brobo,Bouaké,Gbeke
111,Djihouloké,1,Tabou,Tabou,San Pedro
112,Fahris_Oko,1,Commune de Bouaké,Bouaké,Gbeke
113,Langbabokohoun,1,Brobo,Bouaké,Gbeke
114,Kouadianikro,1,Brobo,Bouaké,Gbeke
115,Kouadianikro (Bassin de Bounda),1,Brobo,Bouaké,Gbeke
116,Tanou-Broukro ( Bassin  de  Saminikro),1,Brobo,Bouaké,Gbeke
117,Tanou-Broukro (Bassin de  Saminikro),1,Brobo,Bouaké,Gbeke
118,Assengou,1,Djebonoua,Bouaké,Gbeke
119,Kouadianikro(Bassin Bounda),1,Brobo,Bouaké,Gbeke
120,Ahodji(Raffierkro),1,Commune de Bouaké,Bouaké,Gbeke
121,Kouadianikro (Bounda),1,Brobo,Bouaké,Gbeke
122,Belle-Ahoukro(Akanzakro),1,Dibri Assrikro,Sakassou,Gbeke
123,Fahris_Oko (Kahankro),1,Commune de Bouaké,Bouaké,Gbeke
124,Belle-Ahoukro (Akanzakro),1,Dibri,Sakassou,Gbeke
125,Belle-Ahoukro 3(Akanzakro),1,Dibri Assrikro,Sakassou,Gbeke
